customer_id,first_name,last_name,age,annual_income,spending_score
1,Mark,Clark,50,56103.03,22
2,Joseph,Moore,50,44425.69,68
3,Linda,White,32,53967.36,14
4,Christopher,Miller,33,117678.33,98
5,Charles,Martin,61,68107.54,23
6,Daniel,Clark,55,42540.61,44
7,David,Garcia,23,32790.11,89
8,David,Clark,61,62550.71,65
9,Margaret,Rodriguez,42,37697.74,79
10,Emily,Walker,32,40328.57,96
11,Margaret,Lee,21,108904.92,78
12,John,Sanchez,21,22565.17,61
13,Lisa,Gonzalez,47,35281.92,85
14,Mary,Thompson,51,129767.51,55
15,Margaret,Martin,44,129838.83,71
16,Sandra,Ramirez,48,62801.65,85
17,Mary,Taylor,49,31433.89,50
18,Christopher,Ramirez,61,111646.14,12
19,Steven,Johnson,56,66817.12,79
20,Susan,Harris,69,25910.4,15
21,Lisa,Garcia,26,40517.51,17
22,Matthew,Hernandez,58,37837.93,34
23,Anthony,Garcia,25,96585.12,35
24,Dorothy,Hernandez,31,136755.29,39
25,Sarah,Wilson,50,123099.36,78
26,Joseph,Johnson,40,91047.09,55
27,John,Williams,38,74880.17,59
28,Michael,Wright,29,100427.97,5
29,Christopher,Allen,19,77695.66,30
30,William,White,30,51992.89,4
31,Karen,Jackson,21,108295.67,15
32,Patricia,Moore,37,133521.71,35
33,Matthew,White,67,68473.14,74
34,Jessica,Wright,68,129400.0,55
35,William,Smith,65,76040.67,66
36,Betty,Scott,31,72173.67,60
37,Mary,Harris,47,23682.17,24
38,Nancy,King,46,110386.26,92
39,Dorothy,Harris,25,124975.33,22
40,Michael,Thomas,29,106262.4,44
41,Linda,King,58,39676.92,32
42,Paul,Lewis,55,33428.15,95
43,Jessica,Jackson,43,94471.64,83
44,Thomas,Thompson,67,72197.11,51
45,Emily,Jackson,19,75782.71,85
46,Patricia,Harris,57,145814.03,3
47,Mary,Thomas,31,114109.95,70
48,Jennifer,Rodriguez,23,73532.41,32
49,Patricia,Smith,59,22482.91,2
50,Mark,Jackson,57,24432.44,88
51,Karen,Allen,48,109024.48,59
52,Betty,King,34,128906.04,91
53,Kimberly,Thomas,42,112001.34,73
54,Elizabeth,Moore,49,72765.41,77
55,Emily,King,29,24047.65,14
56,Jessica,Harris,66,145762.21,51
57,Donald,Garcia,30,148223.69,11
58,Joseph,Lee,36,91417.39,78
59,Linda,Garcia,61,29187.23,80
60,Jessica,Young,65,90326.43,10
61,Daniel,Walker,42,136004.0,84
62,Christopher,Martinez,48,108398.12,80
63,Sarah,Robinson,54,113598.6,58
64,Karen,Moore,42,31046.08,34
65,Margaret,White,33,33846.51,80
66,Betty,Rodriguez,55,36555.34,78
67,Matthew,Walker,60,137568.99,53
68,Mark,Anderson,66,88360.45,28
69,Joseph,Brown,40,122904.76,18
70,James,Rodriguez,31,34987.86,26
71,Matthew,Rodriguez,23,140593.55,7
72,Michael,Sanchez,42,126748.47,45
73,William,Brown,40,49219.34,98
74,Margaret,Taylor,60,133643.69,45
75,James,Thomas,29,54247.56,71
76,Linda,Anderson,30,46694.18,97
77,Margaret,Wright,53,54351.71,35
78,David,Jones,56,138294.16,52
79,Thomas,Jones,51,139026.96,21
80,Linda,Martin,23,62769.45,28
81,Paul,Anderson,55,111706.44,96
82,Paul,Moore,67,107846.88,44
83,Steven,Johnson,69,124853.14,80
84,Robert,Lewis,57,58546.24,56
85,Dorothy,Gonzalez,25,86318.01,10
86,Michael,Brown,25,106797.61,23
87,William,Martinez,57,23413.39,48
88,Linda,Walker,50,68976.04,52
89,Susan,Davis,51,110465.49,15
90,Kimberly,Williams,61,52837.36,55
91,Steven,Rodriguez,32,144501.53,43
92,Daniel,Robinson,53,23920.98,50
93,Margaret,Hernandez,52,144551.33,6
94,Paul,Wright,63,48179.3,33
95,Lisa,Gonzalez,39,26346.87,62
96,Anthony,Scott,40,58021.62,55
97,Paul,Gonzalez,57,122216.7,39
98,James,Lopez,62,117817.46,12
99,Paul,Martinez,68,47149.25,31
100,Jessica,Rodriguez,39,45582.72,74
101,John,Miller,22,103535.39,53
102,James,Johnson,48,79550.75,34
103,Robert,Thompson,30,122997.69,41
104,Betty,Lee,45,23137.26,10
105,Jessica,Thompson,37,99353.54,52
106,Anthony,Lewis,50,114987.36,75
107,William,Wilson,33,149140.19,57
108,Joseph,Sanchez,46,108241.62,78
109,Joseph,Jones,40,50139.87,3
110,Betty,Walker,41,34064.21,57
111,Richard,Harris,51,103319.18,33
112,Ashley,Walker,24,88013.8,7
113,Ashley,Martin,55,136888.89,4
114,Patricia,Taylor,54,114459.04,39
115,Sandra,Johnson,21,86266.52,48
116,Daniel,Harris,51,72466.63,74
117,Joseph,Gonzalez,59,72568.71,79
118,Mark,Ramirez,39,49419.56,16
119,Emily,Garcia,22,22252.38,38
120,Richard,Williams,67,94738.38,4
121,Ashley,Wright,59,47613.92,4
