customer_id,first_name,last_name,age,annual_income,spending_score,cluster,cluster_name
1,Mark,Clark,50,56103.03,22,4,Middle-Income Moderate
2,Joseph,Moore,50,44425.69,68,0,Budget Enthusiasts
3,Linda,White,32,53967.36,14,2,Cost-Conscious
4,Christopher,Miller,33,117678.33,98,3,High-Value Spenders
5,Charles,Martin,61,68107.54,23,4,Middle-Income Moderate
6,Daniel,Clark,55,42540.61,44,4,Middle-Income Moderate
7,David,Garcia,23,32790.11,89,0,Budget Enthusiasts
8,David,Clark,61,62550.71,65,4,Middle-Income Moderate
9,Margaret,Rodriguez,42,37697.74,79,0,Budget Enthusiasts
10,Emily,Walker,32,40328.57,96,0,Budget Enthusiasts
11,Margaret,Lee,21,108904.92,78,1,High-Income Conservative
12,John,Sanchez,21,22565.17,61,2,Cost-Conscious
13,Lisa,Gonzalez,47,35281.92,85,0,Budget Enthusiasts
14,Mary,Thompson,51,129767.51,55,3,High-Value Spenders
15,Margaret,Martin,44,129838.83,71,3,High-Value Spenders
16,Sandra,Ramirez,48,62801.65,85,0,Budget Enthusiasts
17,Mary,Taylor,49,31433.89,50,0,Budget Enthusiasts
18,Christopher,Ramirez,61,111646.14,12,4,Middle-Income Moderate
19,Steven,Johnson,56,66817.12,79,0,Budget Enthusiasts
20,Susan,Harris,69,25910.4,15,4,Middle-Income Moderate
21,Lisa,Garcia,26,40517.51,17,2,Cost-Conscious
22,Matthew,Hernandez,58,37837.93,34,4,Middle-Income Moderate
23,Anthony,Garcia,25,96585.12,35,1,High-Income Conservative
24,Dorothy,Hernandez,31,136755.29,39,1,High-Income Conservative
25,Sarah,Wilson,50,123099.36,78,3,High-Value Spenders
26,Joseph,Johnson,40,91047.09,55,1,High-Income Conservative
27,John,Williams,38,74880.17,59,0,Budget Enthusiasts
28,Michael,Wright,29,100427.97,5,1,High-Income Conservative
29,Christopher,Allen,19,77695.66,30,2,Cost-Conscious
30,William,White,30,51992.89,4,2,Cost-Conscious
31,Karen,Jackson,21,108295.67,15,1,High-Income Conservative
32,Patricia,Moore,37,133521.71,35,1,High-Income Conservative
33,Matthew,White,67,68473.14,74,3,High-Value Spenders
34,Jessica,Wright,68,129400.0,55,3,High-Value Spenders
35,William,Smith,65,76040.67,66,3,High-Value Spenders
36,Betty,Scott,31,72173.67,60,0,Budget Enthusiasts
37,Mary,Harris,47,23682.17,24,2,Cost-Conscious
38,Nancy,King,46,110386.26,92,3,High-Value Spenders
39,Dorothy,Harris,25,124975.33,22,1,High-Income Conservative
40,Michael,Thomas,29,106262.4,44,1,High-Income Conservative
41,Linda,King,58,39676.92,32,4,Middle-Income Moderate
42,Paul,Lewis,55,33428.15,95,0,Budget Enthusiasts
43,Jessica,Jackson,43,94471.64,83,0,Budget Enthusiasts
44,Thomas,Thompson,67,72197.11,51,4,Middle-Income Moderate
45,Emily,Jackson,19,75782.71,85,0,Budget Enthusiasts
46,Patricia,Harris,57,145814.03,3,4,Middle-Income Moderate
47,Mary,Thomas,31,114109.95,70,1,High-Income Conservative
48,Jennifer,Rodriguez,23,73532.41,32,2,Cost-Conscious
49,Patricia,Smith,59,22482.91,2,4,Middle-Income Moderate
50,Mark,Jackson,57,24432.44,88,0,Budget Enthusiasts
51,Karen,Allen,48,109024.48,59,3,High-Value Spenders
52,Betty,King,34,128906.04,91,3,High-Value Spenders
53,Kimberly,Thomas,42,112001.34,73,3,High-Value Spenders
54,Elizabeth,Moore,49,72765.41,77,0,Budget Enthusiasts
55,Emily,King,29,24047.65,14,2,Cost-Conscious
56,Jessica,Harris,66,145762.21,51,3,High-Value Spenders
57,Donald,Garcia,30,148223.69,11,1,High-Income Conservative
58,Joseph,Lee,36,91417.39,78,0,Budget Enthusiasts
59,Linda,Garcia,61,29187.23,80,0,Budget Enthusiasts
60,Jessica,Young,65,90326.43,10,4,Middle-Income Moderate
61,Daniel,Walker,42,136004.0,84,3,High-Value Spenders
62,Christopher,Martinez,48,108398.12,80,3,High-Value Spenders
63,Sarah,Robinson,54,113598.6,58,3,High-Value Spenders
64,Karen,Moore,42,31046.08,34,2,Cost-Conscious
65,Margaret,White,33,33846.51,80,0,Budget Enthusiasts
66,Betty,Rodriguez,55,36555.34,78,0,Budget Enthusiasts
67,Matthew,Walker,60,137568.99,53,3,High-Value Spenders
68,Mark,Anderson,66,88360.45,28,4,Middle-Income Moderate
69,Joseph,Brown,40,122904.76,18,1,High-Income Conservative
70,James,Rodriguez,31,34987.86,26,2,Cost-Conscious
71,Matthew,Rodriguez,23,140593.55,7,1,High-Income Conservative
72,Michael,Sanchez,42,126748.47,45,1,High-Income Conservative
73,William,Brown,40,49219.34,98,0,Budget Enthusiasts
74,Margaret,Taylor,60,133643.69,45,3,High-Value Spenders
75,James,Thomas,29,54247.56,71,0,Budget Enthusiasts
76,Linda,Anderson,30,46694.18,97,0,Budget Enthusiasts
77,Margaret,Wright,53,54351.71,35,4,Middle-Income Moderate
78,David,Jones,56,138294.16,52,3,High-Value Spenders
79,Thomas,Jones,51,139026.96,21,1,High-Income Conservative
80,Linda,Martin,23,62769.45,28,2,Cost-Conscious
81,Paul,Anderson,55,111706.44,96,3,High-Value Spenders
82,Paul,Moore,67,107846.88,44,4,Middle-Income Moderate
83,Steven,Johnson,69,124853.14,80,3,High-Value Spenders
84,Robert,Lewis,57,58546.24,56,4,Middle-Income Moderate
85,Dorothy,Gonzalez,25,86318.01,10,2,Cost-Conscious
86,Michael,Brown,25,106797.61,23,1,High-Income Conservative
87,William,Martinez,57,23413.39,48,4,Middle-Income Moderate
88,Linda,Walker,50,68976.04,52,4,Middle-Income Moderate
89,Susan,Davis,51,110465.49,15,4,Middle-Income Moderate
90,Kimberly,Williams,61,52837.36,55,4,Middle-Income Moderate
91,Steven,Rodriguez,32,144501.53,43,1,High-Income Conservative
92,Daniel,Robinson,53,23920.98,50,0,Budget Enthusiasts
93,Margaret,Hernandez,52,144551.33,6,1,High-Income Conservative
94,Paul,Wright,63,48179.3,33,4,Middle-Income Moderate
95,Lisa,Gonzalez,39,26346.87,62,0,Budget Enthusiasts
96,Anthony,Scott,40,58021.62,55,0,Budget Enthusiasts
97,Paul,Gonzalez,57,122216.7,39,3,High-Value Spenders
98,James,Lopez,62,117817.46,12,4,Middle-Income Moderate
99,Paul,Martinez,68,47149.25,31,4,Middle-Income Moderate
100,Jessica,Rodriguez,39,45582.72,74,0,Budget Enthusiasts
101,John,Miller,22,103535.39,53,1,High-Income Conservative
102,James,Johnson,48,79550.75,34,4,Middle-Income Moderate
103,Robert,Thompson,30,122997.69,41,1,High-Income Conservative
104,Betty,Lee,45,23137.26,10,2,Cost-Conscious
105,Jessica,Thompson,37,99353.54,52,1,High-Income Conservative
106,Anthony,Lewis,50,114987.36,75,3,High-Value Spenders
107,William,Wilson,33,149140.19,57,1,High-Income Conservative
108,Joseph,Sanchez,46,108241.62,78,3,High-Value Spenders
109,Joseph,Jones,40,50139.87,3,2,Cost-Conscious
110,Betty,Walker,41,34064.21,57,0,Budget Enthusiasts
111,Richard,Harris,51,103319.18,33,4,Middle-Income Moderate
112,Ashley,Walker,24,88013.8,7,2,Cost-Conscious
